abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
81908708959,,JESSE PETER HIGGINS,Jesse Higgins Cabling Services,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,11,95,60,60,65,85,70,75,65
27168683672,168683672,CABC OSBORNE PARK PTY LTD,,Australian Private Company,Osborne Park Dc,Vincent,Perth - South West,WA,6017,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,4,95,60,60,70,90,70,80,65
34529670502,,BARRY CABLE SAVAGE,,Individual/Sole Trader,Wungong,Armadale,Perth - South West,WA,6112,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,20,95,60,60,65,85,70,75,65
52658040781,658040781,VCS CABLING PTY LTD,,Australian Private Company,Osborne Park Dc,Vincent,Perth - South West,WA,6017,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,4,95,60,60,70,90,70,80,65
93169931784,169931784,TREBLESTAR HOLDINGS PTY LTD,Grab Taxi Australia,Australian Private Company,Perth Gpo,Vincent,Perth - South West,WA,6000,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,11,90,55,55,65,85,65,75,60
33665739837,665739837,ASF CAPRICE LIMOUSINES PTY LTD,,Australian Private Company,Redcliffe,Belmont,Perth - South West,WA,6104,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,3,95,60,60,70,90,70,80,65
96120598272,120598272,SUNLEC CABLETIES PTY LTD,Sunlec Cableties,Australian Private Company,Spearwood,Fremantle,Perth - South West,WA,6163,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,19,95,60,60,70,90,70,80,65
20113371430,113371430,F & R CLASSIC CABINETS WA PTY LTD,F & R CLASSIC CABINETS PTY LTD,Australian Private Company,Wanneroo,Wanneroo,Perth - South West,WA,6065,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,21,90,55,55,65,85,65,75,60
86519879714,,The Trustee for Francis Family Trust,Francis Cabinetry and Design,Discretionary Trading Trust,Willetton,Melville,Perth - South West,WA,6155,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,70,90,70,80,65
75423281991,,STEPHEN CHARLES YARDLEY,ARTISAN CABINETS,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
