abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
56545707989,,ALI NADERI,Global West Tiling & Refurbishment,Individual/Sole Trader,East Victoria Park,Victoria Park,Perth - South West,WA,6101,3439,Tiling & Carpeting,tiling,ACT,10,50,50,75,40,65,75,60,60
21344393359,,IVAN RADMAN,RADMAN TILING,Individual/Sole Trader,Wembley,Nedlands,Perth - South West,WA,6014,3439,Tiling & Carpeting,tiling,ACT,9,50,50,75,40,65,75,60,60
55671958619,,MOHAMMAD ALI,FLEXY WEST TILING,Individual/Sole Trader,Forrestfield,Kalamunda,Perth - South West,WA,6058,3439,Tiling & Carpeting,tiling,ACT,3,50,50,75,40,65,75,60,60
52296089764,,JOHN C & DEBBIE J SALIBA,DYNAMIC TILING SERVICES,Family Partnership,Noranda,Bayswater,Perth - South West,WA,6062,3439,Tiling & Carpeting,tiling,ACT,26,50,50,75,45,70,75,65,60
73619470290,619470290,MARBON CONSTRUCTIONS PTY LTD,Marbon Tiling,Australian Private Company,Lockridge,Swan,Perth - South West,WA,6054,3439,Tiling & Carpeting,tiling,ACT,8,50,50,75,45,70,75,65,60
21567374069,,The Trustee for THE MARTIN FAMILY TRUST,OLYMPIA TILING,Discretionary Trading Trust,Thornlie,Gosnells,Perth - South West,WA,6108,3439,Tiling & Carpeting,tiling,ACT,18,50,50,75,45,70,75,65,60
26631037299,631037299,TILING ARTS PTY LTD,,Australian Private Company,Wilson,Kalamunda,Perth - South West,WA,6107,3439,Tiling & Carpeting,tiling,ACT,7,50,50,75,45,70,75,65,60
59167106265,167106265,TNJ TILING SERVICES PTY LTD,,Australian Private Company,Wungong,Armadale,Perth - South West,WA,6112,3439,Tiling & Carpeting,tiling,ACT,12,50,50,75,45,70,75,65,60
47693185492,693185492,S & C UNLIMITED ENTERPRISES PTY LTD,Morning Glory On The Run,Australian Private Company,Yourdamung Lake,Boyup Brook,Western Australia - Outback (South),WA,6225,3439,Tiling & Carpeting,tiling,ACT,0,50,50,75,45,70,75,65,60
23752689647,,JOHN BLACK,J B TILING SERVICE,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,3439,Tiling & Carpeting,tiling,ACT,26,50,50,75,40,65,75,60,60
