abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
94009240635,009240635,FLEMINGTON FIELDS PTY LTD,G K R TRANSPORT,Australian Private Company,Welshpool Dc,Belmont,Perth - South West,WA,6106,4621,Road Freight Transport,transport_logistics,ACT,26,95,60,65,85,90,75,90,80
28120568137,,The Trustee for T & G Butcher Family Trust,Moora Courier Depot,Discretionary Trading Trust,Walebing,Victoria Plains,Western Australia - Outback (South),WA,6510,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
81602835334,602835334,SOUTH32 FREIGHT AUSTRALIA PTY LTD,,Australian Private Company,Perth Gpo,Vincent,Perth - South West,WA,6000,4621,Road Freight Transport,transport_logistics,ACT,11,95,60,65,85,90,75,90,80
15534295494,,The Trustee for THE GRIGSON FAMILY TRUST,GRIGSON LIVESTOCK & BULK HAULAGE,Discretionary Trading Trust,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,4621,Road Freight Transport,transport_logistics,ACT,19,95,60,65,85,90,75,90,80
11583418747,,The Trustee for M & L Jones Family Trust,TRADITIONAL HAULAGE,Discretionary Trading Trust,Port Kennedy,Rockingham,Perth - South West,WA,6172,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
97100468513,100468513,WORLDWIDE FREIGHT PTY LTD,WORLDWIDE FREIGHT,Australian Private Company,Malaga,Swan,Perth - South West,WA,6090,4621,Road Freight Transport,transport_logistics,ACT,23,95,60,65,85,90,75,90,80
89100762070,100762070,CEEDEEMAC PTY LTD,Mac's Bulk Haulage,Australian Private Company,Warradarge,Coorow,Western Australia - Outback (South),WA,6518,4621,Road Freight Transport,transport_logistics,ACT,23,95,60,65,85,90,75,90,80
30573383494,,MARSHALL FAMILY TRUST,D & T TRUCKING,Other trust,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,4621,Road Freight Transport,transport_logistics,NON,26,90,55,60,80,85,70,85,75
85336499856,,The Trustee for TFB Transport Trust,,Discretionary Trading Trust,Wilson,Kalamunda,Perth - South West,WA,6107,4621,Road Freight Transport,transport_logistics,ACT,8,95,60,65,85,90,75,90,80
96565697797,,KGI LOGISTICS PTY LTD & THE TRUSTEE FOR AMYS INVESTMENT TRUST,,Other Partnership,Perth Gpo,Vincent,Perth - South West,WA,6000,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
