abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
37680574109,680574109,OPTERRA GROUP PTY LTD,BLACKETT PARTNERS,Australian Private Company,Belimbla Park,Wollondilly,Sydney - South West,NSW,2570,6960,Management and Related Consulting Services,consulting,ACT,1,45,90,95,40,80,25,85,85
21161062684,161062684,DGV CONSULTING PTY LTD,,Australian Private Company,Hurstville,Georges River,Sydney - Inner South West,NSW,2220,6960,Management and Related Consulting Services,consulting,NON,13,40,85,90,35,75,20,80,80
35690236590,690236590,LBB PRO CONSULTING PTY LTD,Luxury Beauty by Barsha,Australian Private Company,Hurstville,Georges River,Sydney - Inner South West,NSW,2220,6960,Management and Related Consulting Services,consulting,ACT,0,45,90,95,40,80,25,85,85
43649447030,649447030,AAP CONSULTING PTY LTD,,Australian Private Company,Fern Bay,Port Stephens,Newcastle and Lake Macquarie,NSW,2295,6960,Management and Related Consulting Services,consulting,ACT,5,45,90,95,40,80,25,85,85
12612257333,612257333,SANTOSA CONSULTING PTY LTD,,Australian Private Company,Booker Bay,Central Coast (NSW),Central Coast,NSW,2257,6960,Management and Related Consulting Services,consulting,CAN,10,40,85,90,35,75,20,80,80
50675183687,675183687,TAUTUA CONSULTING PTY LTD,,Australian Private Company,Campsie,Canterbury-Bankstown,Sydney - Inner West,NSW,2194,6960,Management and Related Consulting Services,consulting,ACT,2,45,90,95,40,80,25,85,85
69162982238,162982238,ENTERPRISE PROJECT MANAGEMENT CONSULTING SERVICES PTY LTD,,Australian Private Company,Lugarno,Canterbury-Bankstown,Sydney - Inner South West,NSW,2210,6960,Management and Related Consulting Services,consulting,ACT,13,45,90,95,40,80,25,85,85
75081278300,081278300,ALLEN CONSULTANTS PTY. LTD.,,Australian Private Company,Asquith,Hornsby,Sydney - North Sydney and Hornsby,NSW,2077,6960,Management and Related Consulting Services,consulting,ACT,26,45,90,95,40,80,25,85,85
68676691562,676691562,AUSSIE CONSULTANTS AND INTELLECT SUPPORT PTY LTD,ACM GLOBAL SERVICES,Australian Private Company,Arndell Park,Cumberland,Sydney - South West,NSW,2148,6960,Management and Related Consulting Services,consulting,NON,2,40,85,90,35,75,20,80,80
56158266301,158266301,VAN DER MEER (NSW) PTY LTD,VAN DER MEER CONSULTING (NSW),Australian Private Company,Crows Nest,Willoughby,Sydney - North Sydney and Hornsby,NSW,2065,6960,Management and Related Consulting Services,consulting,ACT,14,45,90,95,40,80,25,85,85
