abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
92607401591,,GIUSEPPE BELLISSIMO,Vehicle Enhancement Distribution,Individual/Sole Trader,Lansvale,Fairfield,Sydney - Sutherland,NSW,2166,4621,Road Freight Transport,transport_logistics,CAN,0,90,55,60,75,80,70,80,75
37671344148,671344148,HORIZON LOGISTICS PTY LTD,,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,4621,Road Freight Transport,transport_logistics,ACT,2,95,60,65,85,90,75,90,80
13231318614,,J.B & M.M HANNAH,GLENANNA SIMMENTALS,Family Partnership,Ballimore,Warrumbungle,Far West and Orana,NSW,2830,4621,Road Freight Transport,transport_logistics,ACT,6,95,60,65,85,90,75,90,80
83667991862,667991862,MONI TRANSPORT PTY LTD,,Australian Private Company,Arndell Park,Cumberland,Sydney - South West,NSW,2148,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
75770422310,,JOSHUA ROBERT JOHN HOSKING,EXCAVATION & HAULAGE,Individual/Sole Trader,Greta,Maitland,Sydney - Sutherland,NSW,2334,4621,Road Freight Transport,transport_logistics,ACT,5,95,60,65,80,85,75,85,80
71664584052,664584052,CROSS LAND TRANSPORT PTY LTD,,Australian Private Company,Allgomera,Nambucca Valley,Mid North Coast,NSW,2441,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
94160069563,160069563,DARFRAN HAULAGE PTY LIMITED,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,4621,Road Freight Transport,transport_logistics,ACT,13,95,60,65,85,90,75,90,80
85129610224,129610224,MVS DISTRIBUTION CENTER PTY LTD,,Australian Private Company,Merrylands,Parramatta,Sydney - Parramatta,NSW,2160,4621,Road Freight Transport,transport_logistics,ACT,18,95,60,65,85,90,75,90,80
13696087591,696087591,GURRI TRANSPORT PTY LTD,,Australian Private Company,Menangle Park,Campbelltown (NSW),Sydney - Outer South West,NSW,2563,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
90635280367,635280367,QUINLAND TRANSPORT PTY LTD,,Australian Private Company,Bidwill,Blacktown,Sydney - Blacktown,NSW,2770,4621,Road Freight Transport,transport_logistics,NON,4,90,55,60,80,85,70,85,75
